ISO,year,Buildingblock,Module,Policy,Policytype,Value
GBR,2000,Sectoral,Electricity,AirEmissionStandards,NMBI,1.25
GBR,2000,Sectoral,Electricity,Auction,MBI,0
GBR,2000,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2000,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2000,Sectoral,Electricity,ETS_E,MBI,0
GBR,2000,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2000,Sectoral,Electricity,FFS_E,MBI,.
GBR,2000,Sectoral,Electricity,FiT,MBI,0
GBR,2000,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,.
GBR,2000,Sectoral,Electricity,RECs,MBI,0
GBR,2001,Sectoral,Electricity,AirEmissionStandards,NMBI,1.25
GBR,2001,Sectoral,Electricity,Auction,MBI,0
GBR,2001,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2001,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2001,Sectoral,Electricity,ETS_E,MBI,0
GBR,2001,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2001,Sectoral,Electricity,FFS_E,MBI,.
GBR,2001,Sectoral,Electricity,FiT,MBI,0
GBR,2001,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,.
GBR,2001,Sectoral,Electricity,RECs,MBI,0
GBR,2002,Sectoral,Electricity,AirEmissionStandards,NMBI,1.25
GBR,2002,Sectoral,Electricity,Auction,MBI,0
GBR,2002,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2002,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2002,Sectoral,Electricity,ETS_E,MBI,0
GBR,2002,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2002,Sectoral,Electricity,FFS_E,MBI,.
GBR,2002,Sectoral,Electricity,FiT,MBI,0
GBR,2002,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,.
GBR,2002,Sectoral,Electricity,RECs,MBI,0
GBR,2003,Sectoral,Electricity,AirEmissionStandards,NMBI,4
GBR,2003,Sectoral,Electricity,Auction,MBI,0
GBR,2003,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2003,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2003,Sectoral,Electricity,ETS_E,MBI,0
GBR,2003,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2003,Sectoral,Electricity,FFS_E,MBI,.
GBR,2003,Sectoral,Electricity,FiT,MBI,0
GBR,2003,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,.
GBR,2003,Sectoral,Electricity,RECs,MBI,4
GBR,2004,Sectoral,Electricity,AirEmissionStandards,NMBI,4
GBR,2004,Sectoral,Electricity,Auction,MBI,0
GBR,2004,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2004,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2004,Sectoral,Electricity,ETS_E,MBI,0
GBR,2004,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2004,Sectoral,Electricity,FFS_E,MBI,.
GBR,2004,Sectoral,Electricity,FiT,MBI,0
GBR,2004,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,.
GBR,2004,Sectoral,Electricity,RECs,MBI,4
GBR,2005,Sectoral,Electricity,AirEmissionStandards,NMBI,4
GBR,2005,Sectoral,Electricity,Auction,MBI,0
GBR,2005,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2005,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2005,Sectoral,Electricity,ETS_E,MBI,6.5
GBR,2005,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2005,Sectoral,Electricity,FFS_E,MBI,.
GBR,2005,Sectoral,Electricity,FiT,MBI,0
GBR,2005,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,.
GBR,2005,Sectoral,Electricity,RECs,MBI,5
GBR,2006,Sectoral,Electricity,AirEmissionStandards,NMBI,4
GBR,2006,Sectoral,Electricity,Auction,MBI,0
GBR,2006,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2006,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2006,Sectoral,Electricity,ETS_E,MBI,7.5
GBR,2006,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2006,Sectoral,Electricity,FFS_E,MBI,.
GBR,2006,Sectoral,Electricity,FiT,MBI,0
GBR,2006,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,.
GBR,2006,Sectoral,Electricity,RECs,MBI,5
GBR,2007,Sectoral,Electricity,AirEmissionStandards,NMBI,4
GBR,2007,Sectoral,Electricity,Auction,MBI,0
GBR,2007,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2007,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2007,Sectoral,Electricity,ETS_E,MBI,3.5
GBR,2007,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2007,Sectoral,Electricity,FFS_E,MBI,.
GBR,2007,Sectoral,Electricity,FiT,MBI,0
GBR,2007,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,.
GBR,2007,Sectoral,Electricity,RECs,MBI,6
GBR,2008,Sectoral,Electricity,AirEmissionStandards,NMBI,4
GBR,2008,Sectoral,Electricity,Auction,MBI,0
GBR,2008,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2008,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2008,Sectoral,Electricity,ETS_E,MBI,8
GBR,2008,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2008,Sectoral,Electricity,FFS_E,MBI,.
GBR,2008,Sectoral,Electricity,FiT,MBI,0
GBR,2008,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,.
GBR,2008,Sectoral,Electricity,RECs,MBI,6
GBR,2009,Sectoral,Electricity,AirEmissionStandards,NMBI,4
GBR,2009,Sectoral,Electricity,Auction,MBI,0
GBR,2009,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2009,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2009,Sectoral,Electricity,ETS_E,MBI,5.5
GBR,2009,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2009,Sectoral,Electricity,FFS_E,MBI,.
GBR,2009,Sectoral,Electricity,FiT,MBI,0
GBR,2009,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,.
GBR,2009,Sectoral,Electricity,RECs,MBI,7
GBR,2010,Sectoral,Electricity,AirEmissionStandards,NMBI,4
GBR,2010,Sectoral,Electricity,Auction,MBI,0
GBR,2010,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2010,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2010,Sectoral,Electricity,ETS_E,MBI,6
GBR,2010,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2010,Sectoral,Electricity,FFS_E,MBI,0
GBR,2010,Sectoral,Electricity,FiT,MBI,6
GBR,2010,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,1
GBR,2010,Sectoral,Electricity,RECs,MBI,8
GBR,2011,Sectoral,Electricity,AirEmissionStandards,NMBI,4
GBR,2011,Sectoral,Electricity,Auction,MBI,0
GBR,2011,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2011,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2011,Sectoral,Electricity,ETS_E,MBI,7
GBR,2011,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2011,Sectoral,Electricity,FFS_E,MBI,0
GBR,2011,Sectoral,Electricity,FiT,MBI,6.5
GBR,2011,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,2
GBR,2011,Sectoral,Electricity,RECs,MBI,8
GBR,2012,Sectoral,Electricity,AirEmissionStandards,NMBI,4
GBR,2012,Sectoral,Electricity,Auction,MBI,0
GBR,2012,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2012,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2012,Sectoral,Electricity,ETS_E,MBI,5.5
GBR,2012,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2012,Sectoral,Electricity,FFS_E,MBI,8
GBR,2012,Sectoral,Electricity,FiT,MBI,5
GBR,2012,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,3
GBR,2012,Sectoral,Electricity,RECs,MBI,9
GBR,2013,Sectoral,Electricity,AirEmissionStandards,NMBI,6
GBR,2013,Sectoral,Electricity,Auction,MBI,0
GBR,2013,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2013,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2013,Sectoral,Electricity,ETS_E,MBI,5
GBR,2013,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2013,Sectoral,Electricity,FFS_E,MBI,8
GBR,2013,Sectoral,Electricity,FiT,MBI,4.75
GBR,2013,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,3
GBR,2013,Sectoral,Electricity,RECs,MBI,10
GBR,2014,Sectoral,Electricity,AirEmissionStandards,NMBI,6
GBR,2014,Sectoral,Electricity,Auction,MBI,0
GBR,2014,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2014,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2014,Sectoral,Electricity,ETS_E,MBI,5.5
GBR,2014,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2014,Sectoral,Electricity,FFS_E,MBI,8
GBR,2014,Sectoral,Electricity,FiT,MBI,6.75
GBR,2014,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,10
GBR,2014,Sectoral,Electricity,RECs,MBI,10
GBR,2015,Sectoral,Electricity,AirEmissionStandards,NMBI,6
GBR,2015,Sectoral,Electricity,Auction,MBI,5
GBR,2015,Sectoral,Electricity,BanPhaseOutCoal,NMBI,1.5
GBR,2015,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2015,Sectoral,Electricity,ETS_E,MBI,6
GBR,2015,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2015,Sectoral,Electricity,FFS_E,MBI,9
GBR,2015,Sectoral,Electricity,FiT,MBI,6.75
GBR,2015,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,10
GBR,2015,Sectoral,Electricity,RECs,MBI,10
GBR,2016,Sectoral,Electricity,AirEmissionStandards,NMBI,6
GBR,2016,Sectoral,Electricity,Auction,MBI,0
GBR,2016,Sectoral,Electricity,BanPhaseOutCoal,NMBI,1.5
GBR,2016,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2016,Sectoral,Electricity,ETS_E,MBI,4.5
GBR,2016,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2016,Sectoral,Electricity,FFS_E,MBI,9
GBR,2016,Sectoral,Electricity,FiT,MBI,4.5
GBR,2016,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,10
GBR,2016,Sectoral,Electricity,RECs,MBI,10
GBR,2017,Sectoral,Electricity,AirEmissionStandards,NMBI,6
GBR,2017,Sectoral,Electricity,Auction,MBI,0
GBR,2017,Sectoral,Electricity,BanPhaseOutCoal,NMBI,5.25
GBR,2017,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2017,Sectoral,Electricity,ETS_E,MBI,5.5
GBR,2017,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2017,Sectoral,Electricity,FFS_E,MBI,9
GBR,2017,Sectoral,Electricity,FiT,MBI,4
GBR,2017,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,10
GBR,2017,Sectoral,Electricity,RECs,MBI,10
GBR,2018,Sectoral,Electricity,AirEmissionStandards,NMBI,6
GBR,2018,Sectoral,Electricity,Auction,MBI,0
GBR,2018,Sectoral,Electricity,BanPhaseOutCoal,NMBI,5.25
GBR,2018,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2018,Sectoral,Electricity,ETS_E,MBI,7.5
GBR,2018,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2018,Sectoral,Electricity,FFS_E,MBI,0
GBR,2018,Sectoral,Electricity,FiT,MBI,4.25
GBR,2018,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,10
GBR,2018,Sectoral,Electricity,RECs,MBI,10
GBR,2019,Sectoral,Electricity,AirEmissionStandards,NMBI,6
GBR,2019,Sectoral,Electricity,Auction,MBI,0
GBR,2019,Sectoral,Electricity,BanPhaseOutCoal,NMBI,5.25
GBR,2019,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2019,Sectoral,Electricity,ETS_E,MBI,8
GBR,2019,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2019,Sectoral,Electricity,FFS_E,MBI,0
GBR,2019,Sectoral,Electricity,FiT,MBI,4.25
GBR,2019,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,10
GBR,2019,Sectoral,Electricity,RECs,MBI,10
GBR,2020,Sectoral,Electricity,AirEmissionStandards,NMBI,6
GBR,2020,Sectoral,Electricity,Auction,MBI,0
GBR,2020,Sectoral,Electricity,BanPhaseOutCoal,NMBI,5.25
GBR,2020,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2020,Sectoral,Electricity,ETS_E,MBI,8.5
GBR,2020,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2020,Sectoral,Electricity,FFS_E,MBI,0
GBR,2020,Sectoral,Electricity,FiT,MBI,4.25
GBR,2020,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,10
GBR,2020,Sectoral,Electricity,RECs,MBI,10
