Tech,Break_id,Break_year,Module,Policy,ISO,year,Value,Policytype,Policytype_detail,diff,diff_2,introduction,diff_adj,diff_2_adj,source,Policy_name_fig_1,Policy_name_fig_2_3,Policy_name_fig_4,Market_non_market,Cluster_categories,label,coeff,min_year,max_year,unique_break_identifier
CCMT,CHN,2015,Electricity,AirEmissionStandards,CHN,2012,8,NMBI,Performance Standards,6,6,0,1,1,OECD,Air pollution standard,Air pollution standard,Air pollution standard,Non-market,Regulation,jump,0.239216312,2012,2018,CHN_2012_2018
CCMT,CHN,2015,Electricity,ETS Electricity,CHN,2014,6,MBI,Carbon Pricing,6,6,1,1,1,OECD,Emission trading scheme,Emission trading scheme,Taxation,Market,Pricing,jump,0.239216312,2012,2018,CHN_2012_2018
CCMT,CHN,2015,Electricity,Auction,CHN,2016,3,MBI,Subsidy,3,3,1,1,1,OECD,Renewable auction,Renewable auction,Renewable subsidy,Market,Subsidy,jump,0.239216312,2012,2018,CHN_2012_2018
CCMT,CHN,2015,Electricity,PlanningRenewablesExpansion,CHN,2016,2,NMBI,Other regulatory instruments,2,2,1,1,1,OECD,Renewable expansion planning,Renewable expansion planning,Renewable planning,Non-market,Regulation,jump,0.239216312,2012,2018,CHN_2012_2018
CCMT,CHN,2015,Electricity,Auction,CHN,2018,5,MBI,Subsidy,5,2,0,1,1,OECD,Renewable auction,Renewable auction,Renewable subsidy,Market,Subsidy,jump,0.239216312,2012,2018,CHN_2012_2018
CCMT,CHN,2015,Electricity,Renewable energy certificates,CHN,2018,7,MBI,Subsidy,7,7,1,1,1,OECD,Renewable portfolio standard,Renewable portfolio standard,Renewable portfolio standard,Non-market,Regulation,jump,0.239216312,2012,2018,CHN_2012_2018
CCMT,DNK,2005,Cross_sectoral,RDD_Renewables,DNK,2004,9,MBI,Other MBI,3,3,0,1,1,OECD,NA,NA,NA,NA,NA,jump,0.406408265,2004,2006,DNK_2004_2006
CCMT,DNK,2005,Electricity,ETS Electricity,DNK,2005,6,MBI,Carbon Pricing,6,6,1,1,1,OECD,Emission trading scheme,Emission trading scheme,Taxation,Market,Pricing,jump,0.406408265,2004,2006,DNK_2004_2006
CCMT,DNK,2005,Cross_sectoral,RDD_Otherstorage,DNK,2006,5,MBI,Other MBI,3,1,0,1,0,OECD,NA,NA,NA,NA,NA,jump,0.406408265,2004,2006,DNK_2004_2006
CCMT,DNK,2005,Electricity,ETS Electricity,DNK,2006,8,MBI,Carbon Pricing,2,8,0,1,0,OECD,Emission trading scheme,Emission trading scheme,Taxation,Market,Pricing,jump,0.406408265,2004,2006,DNK_2004_2006
CCMT,DNK,2007,Electricity,ETS Electricity,DNK,2005,6,MBI,Carbon Pricing,6,6,1,1,1,OECD,Emission trading scheme,Emission trading scheme,Taxation,Market,Pricing,jump,0.305298255,2005,2009,DNK_2005_2009
CCMT,DNK,2007,Cross_sectoral,RDD_Otherstorage,DNK,2006,5,MBI,Other MBI,3,1,0,1,0,OECD,NA,NA,NA,NA,NA,jump,0.305298255,2005,2009,DNK_2005_2009
CCMT,DNK,2007,Electricity,ETS Electricity,DNK,2006,8,MBI,Carbon Pricing,2,8,0,1,0,OECD,Emission trading scheme,Emission trading scheme,Taxation,Market,Pricing,jump,0.305298255,2005,2009,DNK_2005_2009
CCMT,DNK,2007,Electricity,ETS Electricity,DNK,2008,8,MBI,Carbon Pricing,4,0,0,1,0,OECD,Emission trading scheme,Emission trading scheme,Taxation,Market,Pricing,jump,0.305298255,2005,2009,DNK_2005_2009
CCMT,DNK,2007,Cross_sectoral,RDD_Otherstorage,DNK,2009,10,MBI,Other MBI,4,4,0,1,1,OECD,NA,NA,NA,NA,NA,jump,0.305298255,2005,2009,DNK_2005_2009
CCMT,DNK,2007,Electricity,Feed-In-Tariffs,DNK,2009,3,MBI,Subsidy,3,3,0,1,1,OECD,Renewable feed in tariff,Renewable feed in tariff,Renewable subsidy,Market,Subsidy,jump,0.305298255,2005,2009,DNK_2005_2009
CCMT,NOR,2015,Electricity,Renewable energy certificates,NOR,2012,4,MBI,Subsidy,4,4,1,1,1,OECD,Renewable portfolio standard,Renewable portfolio standard,Renewable portfolio standard,Non-market,Regulation,jump,0.210478921,2011,2019,NOR_2011_2019
CCMT,NOR,2015,Electricity,Renewable energy certificates,NOR,2014,6,MBI,Subsidy,1,2,0,0,1,OECD,Renewable portfolio standard,Renewable portfolio standard,Renewable portfolio standard,Non-market,Regulation,jump,0.210478921,2011,2019,NOR_2011_2019
CCMT,NOR,2015,Electricity,Renewable energy certificates,NOR,2015,7,MBI,Subsidy,1,2,0,0,1,OECD,Renewable portfolio standard,Renewable portfolio standard,Renewable portfolio standard,Non-market,Regulation,slow_increase,0.210478921,2011,2019,NOR_2011_2019
CCMT,NOR,2015,Electricity,PlanningRenewablesExpansion,NOR,2016,9,NMBI,Other regulatory instruments,3,4,0,1,1,OECD,Renewable expansion planning,Renewable expansion planning,Renewable planning,Non-market,Regulation,jump,0.210478921,2011,2019,NOR_2011_2019
CCMT,NOR,2015,Electricity,Renewable energy certificates,NOR,2016,8,MBI,Subsidy,1,2,0,0,1,OECD,Renewable portfolio standard,Renewable portfolio standard,Renewable portfolio standard,Non-market,Regulation,slow_increase,0.210478921,2011,2019,NOR_2011_2019
CCMT,NOR,2015,International,Ratification of Climate Treaties,NOR,2017,10,Other,International Co-operation,2,3,0,1,1,OECD,NA,NA,NA,NA,NA,jump,0.210478921,2011,2019,NOR_2011_2019
CCMT,NOR,2015,Cross_sectoral,RDD_Otherstorage,NOR,2018,10,MBI,Other MBI,2,1,0,1,0,OECD,NA,NA,NA,NA,NA,jump,0.210478921,2011,2019,NOR_2011_2019
CCMT,NOR,2015,Electricity,ETS Electricity,NOR,2018,7,MBI,Carbon Pricing,2,2,0,1,1,OECD,Emission trading scheme,Emission trading scheme,Taxation,Market,Pricing,jump,0.210478921,2011,2019,NOR_2011_2019
